identificador,captador,fecha_lectura,tipo_polinico,granos_de_polen_x_metro_cubico
100,ALCA,2025-01-03T00:00:00,Plantago,
101,ALCA,2025-01-03T00:00:00,Plátano de paseo,
102,ALCA,2025-01-03T00:00:00,PNI (Polen no identificado),
103,ALCA,2025-01-03T00:00:00,Populus,
104,ALCA,2025-01-03T00:00:00,Quenopodiáceas/Amarantáceas,
105,ALCA,2025-01-03T00:00:00,Quercus,
106,ALCA,2025-01-03T00:00:00,Rumex (Acederas),
107,ALCA,2025-01-03T00:00:00,Sauces,
108,ALCA,2025-01-03T00:00:00,Urticaceae (Ortigas),
109,ALCA,2025-01-04T00:00:00,Abedul,
110,ALCA,2025-01-04T00:00:00,Aligustre,
111,ALCA,2025-01-04T00:00:00,Aliso,
112,ALCA,2025-01-04T00:00:00,Arce,
113,ALCA,2025-01-04T00:00:00,Artemisia,
114,ALCA,2025-01-04T00:00:00,Castaño,
115,ALCA,2025-01-04T00:00:00,Compuestas,
116,ALCA,2025-01-04T00:00:00,Corylus,
117,ALCA,2025-01-04T00:00:00,Cupresáceas/Taxáceas,
118,ALCA,2025-01-04T00:00:00,Ericaceae,
119,ALCA,2025-01-04T00:00:00,Eucalipto,
120,ALCA,2025-01-04T00:00:00,Fresno,
121,ALCA,2025-01-04T00:00:00,Gramíneas,
122,ALCA,2025-01-04T00:00:00,Moreras,
123,ALCA,2025-01-04T00:00:00,Olivo,
124,ALCA,2025-01-04T00:00:00,Olmos,
125,ALCA,2025-01-04T00:00:00,Otros,
126,ALCA,2025-01-04T00:00:00,Pinos,
127,ALCA,2025-01-04T00:00:00,Plantago,
128,ALCA,2025-01-04T00:00:00,Plátano de paseo,
129,ALCA,2025-01-04T00:00:00,PNI (Polen no identificado),
130,ALCA,2025-01-04T00:00:00,Populus,
131,ALCA,2025-01-04T00:00:00,Quenopodiáceas/Amarantáceas,
132,ALCA,2025-01-04T00:00:00,Quercus,
133,ALCA,2025-01-04T00:00:00,Rumex (Acederas),
134,ALCA,2025-01-04T00:00:00,Sauces,
135,ALCA,2025-01-04T00:00:00,Urticaceae (Ortigas),
